Header,colli_h,colli_o,colli_t_h,colli_t_o,eva_avg_h,eva_avg_o,eva_cur_h,eva_cur_o,idx_h,idx_o,robot_x,robot_y,stop,t
"seq: 165
stamp: 
  secs: 8
  nsecs:  36000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.31480407714844,64.606201171875,False,0.09399999678134918
"seq: 166
stamp: 
  secs: 8
  nsecs:  55000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.31380462646484,64.62997436523438,False,0.11299999803304672
"seq: 167
stamp: 
  secs: 8
  nsecs:  81000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.31208038330078,64.6706314086914,False,0.13899999856948853
"seq: 168
stamp: 
  secs: 8
  nsecs: 104000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.31000518798828,64.7198486328125,False,0.16200000047683716
"seq: 169
stamp: 
  secs: 8
  nsecs: 111000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.31000518798828,64.7198486328125,False,0.16899999976158142
"seq: 170
stamp: 
  secs: 8
  nsecs: 130000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.30723571777344,64.78543090820312,False,0.18799999356269836
"seq: 171
stamp: 
  secs: 8
  nsecs: 154000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.30604553222656,64.81355285644531,False,0.21199999749660492
"seq: 172
stamp: 
  secs: 8
  nsecs: 176000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.30306243896484,64.88397979736328,False,0.23399999737739563
"seq: 173
stamp: 
  secs: 8
  nsecs: 192000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.300048828125,64.9557876586914,False,0.25
"seq: 174
stamp: 
  secs: 8
  nsecs: 213000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.300048828125,64.9557876586914,False,0.2709999978542328
"seq: 175
stamp: 
  secs: 8
  nsecs: 230000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,14,77.29473876953125,65.08129119873047,False,0.2879999876022339
