Header,colli_h,colli_o,colli_t_h,colli_t_o,eva_avg_h,eva_avg_o,eva_cur_h,eva_cur_o,idx_h,idx_o,robot_x,robot_y,stop,t
"seq: 628
stamp: 
  secs: 21
  nsecs: 903000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,48.899017333984375,131.75006103515625,False,0.0
"seq: 629
stamp: 
  secs: 21
  nsecs: 924000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,48.860755920410156,131.75135803222656,False,0.0
"seq: 630
stamp: 
  secs: 21
  nsecs: 935000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,48.78350830078125,131.7541961669922,False,0.0
"seq: 631
stamp: 
  secs: 21
  nsecs: 952000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,48.744140625,131.7557373046875,False,0.0
"seq: 632
stamp: 
  secs: 21
  nsecs: 964000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,48.704776763916016,131.7573699951172,False,0.0
"seq: 633
stamp: 
  secs: 21
  nsecs: 978000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,48.64723587036133,131.7598876953125,False,0.0
"seq: 634
stamp: 
  secs: 21
  nsecs: 995000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,48.64117431640625,131.76014709472656,False,0.0
"seq: 635
stamp: 
  secs: 22
  nsecs:   9000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,48.577571868896484,131.7631072998047,False,0.0
"seq: 636
stamp: 
  secs: 22
  nsecs:  46000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,48.498924255371094,131.76702880859375,False,0.0
"seq: 637
stamp: 
  secs: 22
  nsecs:  55000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,48.42089080810547,131.7711944580078,False,0.0
"seq: 638
stamp: 
  secs: 22
  nsecs:  79000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,48.42089080810547,131.7711944580078,False,0.0
"seq: 639
stamp: 
  secs: 22
  nsecs: 102000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,48.34305191040039,131.77560424804688,False,0.0
"seq: 640
stamp: 
  secs: 22
  nsecs: 124000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,48.265499114990234,131.78024291992188,False,0.0
"seq: 641
stamp: 
  secs: 22
  nsecs: 130000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,48.265499114990234,131.78024291992188,False,0.0
"seq: 642
stamp: 
  secs: 22
  nsecs: 153000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,48.15020751953125,131.78759765625,False,0.0
"seq: 643
stamp: 
  secs: 22
  nsecs: 170000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,48.11235046386719,131.79013061523438,False,0.0
"seq: 644
stamp: 
  secs: 22
  nsecs: 193000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,48.036964416503906,131.79539489746094,False,0.0
"seq: 645
stamp: 
  secs: 22
  nsecs: 215000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,47.999698638916016,131.7980499267578,False,0.0
"seq: 646
stamp: 
  secs: 22
  nsecs: 228000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,47.94329833984375,131.8021697998047,False,0.0
"seq: 647
stamp: 
  secs: 22
  nsecs: 253000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,47.9073486328125,131.80484008789062,False,0.0
"seq: 648
stamp: 
  secs: 22
  nsecs: 276000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,47.837738037109375,131.8101043701172,False,0.0
"seq: 649
stamp: 
  secs: 22
  nsecs: 292000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,47.837738037109375,131.8101043701172,False,0.0
"seq: 650
stamp: 
  secs: 22
  nsecs: 303000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,47.746646881103516,131.81777954101562,False,0.0
"seq: 651
stamp: 
  secs: 22
  nsecs: 314000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,47.7147331237793,131.82058715820312,False,0.0
"seq: 652
stamp: 
  secs: 22
  nsecs: 330000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,47.68240737915039,131.82347106933594,False,0.0
"seq: 653
stamp: 
  secs: 22
  nsecs: 352000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,47.63501739501953,131.82733154296875,False,0.02199999988079071
"seq: 654
stamp: 
  secs: 22
  nsecs: 370000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,47.63501739501953,131.82733154296875,False,0.03999999910593033
"seq: 655
stamp: 
  secs: 22
  nsecs: 381000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,47.53560256958008,131.83543395996094,False,0.050999999046325684
"seq: 656
stamp: 
  secs: 22
  nsecs: 399000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,47.501617431640625,131.83824157714844,False,0.0689999982714653
"seq: 657
stamp: 
  secs: 22
  nsecs: 414000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,47.46637725830078,131.84127807617188,False,0.08399999886751175
"seq: 658
stamp: 
  secs: 22
  nsecs: 438000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,47.43124771118164,131.84422302246094,False,0.1080000028014183
"seq: 659
stamp: 
  secs: 22
  nsecs: 454000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,47.357505798339844,131.85064697265625,False,0.12399999797344208
"seq: 660
stamp: 
  secs: 22
  nsecs: 478000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,47.31930160522461,131.85406494140625,False,0.14800000190734863
"seq: 661
stamp: 
  secs: 22
  nsecs: 502000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,47.240604400634766,131.86131286621094,False,0.1720000058412552
"seq: 662
stamp: 
  secs: 22
  nsecs: 512000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,47.240604400634766,131.86131286621094,False,0.18199999630451202
"seq: 663
stamp: 
  secs: 22
  nsecs: 529000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,47.122528076171875,131.872802734375,False,0.19900000095367432
"seq: 664
stamp: 
  secs: 22
  nsecs: 546000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,47.083152770996094,131.8767852783203,False,0.2160000056028366
"seq: 665
stamp: 
  secs: 22
  nsecs: 573000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,47.004512786865234,131.8849639892578,False,0.24300000071525574
"seq: 666
stamp: 
  secs: 22
  nsecs: 591000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,46.94123840332031,131.89186096191406,False,0.26100000739097595
"seq: 667
stamp: 
  secs: 22
  nsecs: 604000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,46.94123840332031,131.89186096191406,False,0.27399998903274536
"seq: 668
stamp: 
  secs: 22
  nsecs: 619000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,46.86246109008789,131.9005584716797,False,0.289000004529953
"seq: 669
stamp: 
  secs: 22
  nsecs: 627000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,46.79548263549805,131.908203125,False,0.296999990940094
"seq: 670
stamp: 
  secs: 22
  nsecs: 649000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,46.79548263549805,131.908203125,False,0.3190000057220459
"seq: 671
stamp: 
  secs: 22
  nsecs: 664000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,46.7282829284668,131.91607666015625,False,0.33399999141693115
"seq: 672
stamp: 
  secs: 22
  nsecs: 682000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,46.65174865722656,131.92529296875,False,0.35199999809265137
"seq: 673
stamp: 
  secs: 22
  nsecs: 697000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,46.60890197753906,131.93057250976562,False,0.367000013589859
"seq: 674
stamp: 
  secs: 22
  nsecs: 720000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,46.569156646728516,131.93553161621094,False,0.38999998569488525
"seq: 675
stamp: 
  secs: 22
  nsecs: 741000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,46.490169525146484,131.945556640625,False,0.41100001335144043
"seq: 676
stamp: 
  secs: 22
  nsecs: 763000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,46.490169525146484,131.945556640625,False,0.43299999833106995
"seq: 677
stamp: 
  secs: 22
  nsecs: 778000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,46.374576568603516,131.96067810058594,False,0.4480000138282776
"seq: 678
stamp: 
  secs: 22
  nsecs: 802000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,46.33644104003906,131.9657745361328,False,0.47200000286102295
"seq: 679
stamp: 
  secs: 22
  nsecs: 812000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,46.25393295288086,131.9771270751953,False,0.4819999933242798
"seq: 680
stamp: 
  secs: 22
  nsecs: 828000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,46.215396881103516,131.98255920410156,False,0.49799999594688416
"seq: 681
stamp: 
  secs: 22
  nsecs: 849000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,46.167884826660156,131.98936462402344,False,0.5189999938011169
"seq: 682
stamp: 
  secs: 22
  nsecs: 855000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,5,46.09660339355469,131.99978637695312,False,0.5249999761581421
"seq: 683
stamp: 
  secs: 22
  nsecs: 875000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,46.090667724609375,132.0006561279297,False,0.5450000166893005
"seq: 684
stamp: 
  secs: 22
  nsecs: 884000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,46.01945877075195,132.01132202148438,False,0.5540000200271606
"seq: 685
stamp: 
  secs: 22
  nsecs: 903000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,45.97502136230469,132.0181121826172,False,0.5730000138282776
"seq: 686
stamp: 
  secs: 22
  nsecs: 926000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,45.936519622802734,132.02406311035156,False,0.5960000157356262
"seq: 687
stamp: 
  secs: 22
  nsecs: 941000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,45.86553192138672,132.03521728515625,False,0.6110000014305115
"seq: 688
stamp: 
  secs: 22
  nsecs: 964000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,45.82120132446289,132.0423126220703,False,0.6340000033378601
"seq: 689
stamp: 
  secs: 22
  nsecs: 983000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,45.78277587890625,132.0485382080078,False,0.652999997138977
"seq: 690
stamp: 
  secs: 23
  nsecs:   7000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,45.705963134765625,132.06121826171875,False,0.6769999861717224
"seq: 691
stamp: 
  secs: 23
  nsecs:  27000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,45.66146469116211,132.06869506835938,False,0.6970000267028809
"seq: 692
stamp: 
  secs: 23
  nsecs:  53000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,45.58413314819336,132.08193969726562,False,0.7229999899864197
"seq: 693
stamp: 
  secs: 23
  nsecs:  75000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,45.58413314819336,132.08193969726562,False,0.7450000047683716
"seq: 694
stamp: 
  secs: 23
  nsecs:  87000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,45.42955017089844,132.10934448242188,False,0.7570000290870667
"seq: 695
stamp: 
  secs: 23
  nsecs: 106000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,45.42955017089844,132.10934448242188,False,0.7760000228881836
"seq: 696
stamp: 
  secs: 23
  nsecs: 138000000
frame_id: ''",0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,45.349395751953125,132.12403869628906,False,0.8080000281333923
